iter	Logloss
0	0.6347952805
1	0.5821646997
2	0.5427593607
3	0.5109348333
4	0.4912141942
5	0.4733441886
6	0.4577870055
7	0.4382360618
8	0.4274027238
9	0.4165367802
10	0.4092948995
11	0.4024686173
12	0.3976797522
13	0.3920686941
14	0.3865956452
15	0.3819052869
16	0.3765839255
17	0.3678291929
18	0.3652130338
19	0.3631431642
20	0.3563324377
21	0.3542931432
22	0.3500433645
23	0.3480429976
24	0.3463810252
25	0.3435680823
26	0.3398490374
27	0.3374235317
28	0.3345609714
29	0.3249364591
30	0.3206962399
31	0.3141260141
32	0.3126938144
33	0.3092144465
34	0.3085261822
35	0.3062928625
36	0.304505065
37	0.3022086604
38	0.3012439179
39	0.300238313
40	0.298523773
41	0.2958573642
42	0.294823464
43	0.2928749367
44	0.2920098697
45	0.2881951724
46	0.2844364911
47	0.2837814456
48	0.2809154369
49	0.2794829882
50	0.2783846427
51	0.2780194663
52	0.2771210847
53	0.2743481231
54	0.2693678957
55	0.2684625409
56	0.2682666575
57	0.2669985401
58	0.2652815479
59	0.2643464993
60	0.2618350348
61	0.2616055687
62	0.2615064871
63	0.2608944306
64	0.2595920216
65	0.2569148656
66	0.2558817124
67	0.2548754178
68	0.254069815
69	0.2533339257
70	0.2511529246
71	0.2502194277
72	0.2494620439
73	0.2490418285
74	0.2483330276
75	0.247277537
76	0.2466457867
77	0.245460084
78	0.2451633566
79	0.2443216806
80	0.2433173401
81	0.2429391175
82	0.2424037859
83	0.2413965717
84	0.2412768386
85	0.2408582516
86	0.2402523062
87	0.2397736036
88	0.2395385436
89	0.2391567194
90	0.2384314241
91	0.236439563
92	0.2359289827
93	0.2351816373
94	0.2350211182
95	0.2348287981
96	0.2342259754
97	0.2334109664
98	0.2325666084
99	0.2324354192
100	0.2323314334
101	0.2319912189
102	0.2317421165
103	0.2313891625
104	0.230872241
105	0.2304191518
106	0.2301046464
107	0.2299460814
108	0.229645216
109	0.2283780373
110	0.2280010791
111	0.2277011333
112	0.2268988639
113	0.2266957773
114	0.2262137988
115	0.2257800967
116	0.2253494023
117	0.224855872
118	0.2247950092
119	0.224662115
120	0.224243394
121	0.223695227
122	0.2233825415
123	0.2229413489
124	0.2227996615
125	0.222609851
126	0.2223624345
127	0.2219708976
128	0.221795321
129	0.2214321752
130	0.2211355627
131	0.2208720349
132	0.2208082411
133	0.2207981835
134	0.2207979536
135	0.2205669358
136	0.2200220638
137	0.2198456443
138	0.2193576504
139	0.2191269582
140	0.2188873387
141	0.2186284852
142	0.2186270101
143	0.2186183702
144	0.2183687889
145	0.2181279625
146	0.2179974246
147	0.2179924437
148	0.2178421547
149	0.2177274791
150	0.2174121691
151	0.2172497727
152	0.2171908065
153	0.2168367605
154	0.2164865267
155	0.2164534421
156	0.2161720405
157	0.2161453927
158	0.2160082839
159	0.2157224379
160	0.215526861
161	0.2154949832
162	0.2154055187
163	0.215394963
164	0.2150044223
165	0.2147912015
166	0.2147187103
167	0.2145589576
168	0.21455572
169	0.214367193
170	0.2143060621
171	0.2141083396
172	0.2139207322
173	0.2136923388
174	0.2136917066
175	0.2135047697
176	0.2133758794
177	0.2131273709
178	0.2126256221
179	0.2122719017
180	0.2117743292
181	0.2115587521
182	0.2115577367
183	0.2113967005
184	0.2113313549
185	0.2112061811
186	0.2111324064
187	0.2109274233
188	0.2109022123
189	0.2106567689
190	0.2105016523
191	0.2102787188
192	0.2102484694
193	0.2102475307
194	0.2102437759
195	0.2101466484
196	0.209658348
197	0.2096569686
198	0.2094672922
199	0.2093319842
200	0.2093117349
201	0.2091526144
202	0.2090113485
203	0.2086556549
204	0.208655176
205	0.2085263048
206	0.2085149062
207	0.2085148487
208	0.2082018951
209	0.2081729101
210	0.208172776
211	0.2081704771
212	0.2081294805
213	0.2080284641
214	0.2080277169
215	0.2080276978
216	0.208026989
217	0.2078018715
218	0.2078014884
219	0.2076260267
220	0.2076257202
221	0.2076256627
222	0.2075239183
223	0.2072257541
224	0.2072257157
225	0.207222095
226	0.2072137999
227	0.2071483586
228	0.2070849288
229	0.2070849288
230	0.2070843732
231	0.2069818816
232	0.2062768164
233	0.2062767014
234	0.2062766248
235	0.2062253024
236	0.2062242871
237	0.2062242679
238	0.2062242296
239	0.2062233675
240	0.2060894197
241	0.2058680571
242	0.2058203746
243	0.2056520585
244	0.2055239345
245	0.2051963064
246	0.2050356916
247	0.2050356341
248	0.2049075484
249	0.2049047514
250	0.2045961657
251	0.2045928706
252	0.2045927748
253	0.2045915679
254	0.2044900917
255	0.2043748797
256	0.2043554159
257	0.2043174844
258	0.2043139786
259	0.2042254144
260	0.2042253761
261	0.2040995893
262	0.2040993019
263	0.204098823
264	0.2039751818
265	0.203975086
266	0.2039749328
267	0.2039749136
268	0.2039354304
269	0.2039353538
270	0.2039352771
271	0.2037551219
272	0.2034199458
273	0.2031996177
274	0.2031994453
275	0.2031318966
276	0.2031315135
277	0.2031314752
278	0.2031312836
279	0.2031166857
280	0.2030606889
281	0.2030606315
282	0.202733942
283	0.2027339229
284	0.2025784806
285	0.2023934594
286	0.2023183053
287	0.2022055071
288	0.2020401221
289	0.2020400838
290	0.2018941052
291	0.201894086
292	0.201894086
293	0.201649409
294	0.2014292725
295	0.2013817241
296	0.2013812068
297	0.2013145394
298	0.2013145011
299	0.2013143478
300	0.2013142904
301	0.2013130068
302	0.201312911
303	0.2011156675
304	0.2010803223
305	0.2010478698
306	0.2009017954
307	0.2009013165
308	0.2009012973
309	0.2008432124
310	0.2008427909
311	0.2008427526
312	0.2008422162
313	0.2008416415
314	0.2008410093
315	0.2008409901
316	0.2008226566
317	0.2007814684
318	0.2007812768
319	0.2007812385
320	0.20071505
321	0.2005313124
322	0.2005165229
323	0.2005163697
324	0.2005162356
325	0.2003297201
326	0.200317651
327	0.2003175552
328	0.2002661562
329	0.2002660604
330	0.2001816725
331	0.2001778985
332	0.1997732389
333	0.1994657642
334	0.1993356095
335	0.1993267397
336	0.1993177358
337	0.1993175442
338	0.1993173909
339	0.1993170653
340	0.1993162415
341	0.1991196301
342	0.1990556448
343	0.199054457
344	0.1988338415
345	0.1988132091
346	0.19881319
347	0.198703955
348	0.1987039167
349	0.1986854299
350	0.1985488959
351	0.1985484936
352	0.1984629754
353	0.1983050234
354	0.1980403462
355	0.1980268595
356	0.1980268403
357	0.1980265338
358	0.1980265338
359	0.198026438
360	0.1980259974
361	0.1980259782
362	0.1980259782
363	0.198019618
364	0.1979607476
365	0.1979012642
366	0.197644384
367	0.197644384
368	0.1975729847
369	0.1975725058
370	0.19757241
371	0.1974943248
372	0.1974942865
373	0.1974933095
374	0.1974919877
375	0.1971014853
376	0.1968935711
377	0.1968665018
378	0.196709048
379	0.1964864402
380	0.1964555394
381	0.1962517632
382	0.1962117245
383	0.1962114754
384	0.1960553818
385	0.1960551519
386	0.19603519
387	0.1958665291
388	0.1957807044
389	0.1954356814
390	0.195232001
391	0.1950772484
392	0.1949419404
393	0.194767379
394	0.1947671108
395	0.1946395807
396	0.1944105935
397	0.1943537921
398	0.1943536197
399	0.1939611824
400	0.1938536525
401	0.1938502808
402	0.1938496678
403	0.1938318323
404	0.1938298208
405	0.1934641846
406	0.1932605808
407	0.1930960579
408	0.1930957706
409	0.1930228579
410	0.1930228579
