iter	Passed	Remaining
0	11744	5860468
1	11781	2933660
2	11819	1958032
3	11856	1470162
4	11893	1177414
5	11930	982245
6	11965	842737
7	12001	738079
8	12036	656660
9	12071	591525
10	12106	538209
11	12141	493767
12	12177	456173
13	12212	423957
14	12247	395999
15	12282	371548
16	12317	349965
17	12352	330763
18	12387	313589
19	12421	298125
20	12456	284131
21	12491	271396
22	12525	259766
23	12559	249102
24	12593	239285
25	12628	230219
26	12662	221824
27	12696	214031
28	12731	206772
29	12765	199997
30	12800	193660
31	12834	187707
32	12868	182113
33	12902	176842
34	12918	171635
35	12953	166952
36	12987	162523
37	13022	158324
38	13057	154345
39	13093	150570
40	13128	146978
41	13164	143559
42	13200	140298
43	13236	137178
44	13270	134175
45	13304	131305
46	13338	128557
47	13372	125923
48	13406	123397
49	13429	120863
50	13463	118534
51	13497	116289
52	13531	114120
53	13565	112037
54	13598	110027
55	13633	108090
56	13648	106077
57	13682	104272
58	13716	102526
59	13750	100840
60	13784	99203
61	13818	97619
62	13831	95941
63	13865	94458
64	13899	93021
65	13933	91626
66	13968	90272
67	14002	88957
68	14036	87679
69	14070	86433
70	14105	85226
71	14138	84047
72	14173	82905
73	14207	81790
74	14241	80702
75	14274	79639
76	14308	78605
77	14343	77599
78	14377	76619
79	14411	75661
80	14445	74725
81	14479	73811
82	14514	72920
83	14548	72047
84	14563	71101
85	14597	70272
86	14632	69464
87	14667	68670
88	14702	67895
89	14737	67138
90	14773	66400
91	14809	65675
92	14844	64963
93	14878	64262
94	14901	63525
95	14935	62851
96	14968	62190
97	15002	61541
98	15036	60906
99	15070	60282
100	15093	59625
101	15126	59024
102	15161	58436
103	15196	57865
104	15231	57301
105	15265	56742
106	15300	56195
107	15334	55657
108	15368	55127
109	15402	54608
110	15436	54097
111	15470	53595
112	15504	53098
113	15538	52613
114	15572	52135
115	15606	51662
116	15640	51200
117	15674	50743
118	15697	50257
119	15731	49815
120	15765	49380
121	15798	48949
122	15832	48526
123	15865	48109
124	15898	47696
125	15932	47290
126	15966	46893
127	16000	46501
128	16034	46114
129	16068	45732
130	16102	45357
131	16137	44988
132	16171	44623
133	16184	44205
134	16197	43792
135	16231	43443
136	16265	43098
137	16299	42756
138	16333	42420
139	16367	42087
140	16401	41758
141	16436	41438
142	16451	41071
143	16473	40725
144	16507	40414
145	16540	40106
146	16574	39802
147	16588	39453
148	16621	39155
149	16655	38862
150	16689	38573
151	16723	38287
152	16757	38004
153	16791	37726
154	16825	37450
155	16859	37177
156	16894	36910
157	16909	36602
158	16944	36339
159	16978	36080
160	17014	35825
161	17037	35547
162	17072	35296
163	17095	35024
164	17130	34779
165	17165	34537
166	17199	34295
167	17234	34057
168	17267	33820
169	17305	33592
170	17343	33369
171	17377	33138
172	17410	32909
173	17445	32684
174	17459	32424
175	17493	32204
176	17528	31986
177	17562	31769
178	17596	31555
179	17632	31345
180	17667	31137
181	17701	30929
182	17714	30684
183	17747	30479
184	17781	30275
185	17814	30074
186	17848	29874
187	17882	29677
188	17898	29452
189	17933	29259
190	17967	29067
191	18001	28877
192	18035	28688
193	18048	28468
194	18070	28264
195	18104	28081
196	18140	27900
197	18153	27688
198	18187	27509
199	18221	27331
200	18254	27155
201	18288	26980
202	18324	26809
203	18358	26638
204	18371	26436
205	18404	26266
206	18426	26082
207	18438	25885
208	18472	25719
209	18505	25555
210	18518	25364
211	18531	25175
212	18565	25015
213	18598	24856
214	18612	24672
215	18624	24488
216	18638	24306
217	18672	24154
218	18686	23976
219	18720	23825
220	18734	23650
221	18747	23476
222	18781	23330
223	18815	23183
224	18828	23012
225	18844	22846
226	18877	22702
227	18910	22560
228	18944	22419
229	18957	22254
230	18970	22090
231	19005	21954
232	19039	21817
